dataset,model,explainer,value
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,0.4733333333333333
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,0.9928
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,0.10453333333333333
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,0.27586666666666665
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,0.4496
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,0.9918666666666666
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,0.09880000000000001
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,0.26026666666666665
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,0.4924
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,0.9924
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,0.12413333333333335
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,0.31093333333333334
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,0.4525333333333333
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,0.9929333333333333
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,0.10680000000000002
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,0.29479999999999995
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,0.4525333333333333
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,0.9930666666666668
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,0.10106666666666668
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,0.24026666666666668
SharePriceIncrease,conv-relu-mlp,LICOR,0.8756666666666666
SharePriceIncrease,conv-relu-mlp,SmoothGRAD,0.9823333333333332
SharePriceIncrease,conv-relu-mlp,DeepSHAP,0.04033333333333333
SharePriceIncrease,conv-relu-mlp,GradientSHAP,0.06866666666666667
SharePriceIncrease,conv-relu-mlp,LICOR,0.7713333333333332
SharePriceIncrease,conv-relu-mlp,SmoothGRAD,0.9823333333333332
SharePriceIncrease,conv-relu-mlp,DeepSHAP,0.006333333333333333
SharePriceIncrease,conv-relu-mlp,GradientSHAP,0.014333333333333333
SharePriceIncrease,conv-relu-mlp,LICOR,0.8086666666666668
SharePriceIncrease,conv-relu-mlp,SmoothGRAD,0.9829999999999999
SharePriceIncrease,conv-relu-mlp,DeepSHAP,0.009000000000000001
SharePriceIncrease,conv-relu-mlp,GradientSHAP,0.018333333333333333
SharePriceIncrease,conv-relu-mlp,LICOR,0.49266666666666675
SharePriceIncrease,conv-relu-mlp,SmoothGRAD,0.9826666666666665
SharePriceIncrease,conv-relu-mlp,DeepSHAP,0.0003333333333333333
SharePriceIncrease,conv-relu-mlp,GradientSHAP,0.0003333333333333333
SharePriceIncrease,conv-relu-mlp,LICOR,0.8133333333333335
SharePriceIncrease,conv-relu-mlp,SmoothGRAD,0.9816666666666666
SharePriceIncrease,conv-relu-mlp,DeepSHAP,0.02033333333333333
SharePriceIncrease,conv-relu-mlp,GradientSHAP,0.02866666666666667
Strawberry,conv-relu-mlp,LICOR,0.48263829787234047
Strawberry,conv-relu-mlp,SmoothGRAD,0.9952340425531914
Strawberry,conv-relu-mlp,DeepSHAP,0.10561702127659574
Strawberry,conv-relu-mlp,GradientSHAP,0.11480851063829788
Strawberry,conv-relu-mlp,LICOR,0.3457021276595744
Strawberry,conv-relu-mlp,SmoothGRAD,0.995063829787234
Strawberry,conv-relu-mlp,DeepSHAP,0.07693617021276596
Strawberry,conv-relu-mlp,GradientSHAP,0.1353191489361702
Strawberry,conv-relu-mlp,LICOR,0.4308936170212766
Strawberry,conv-relu-mlp,SmoothGRAD,0.9951489361702127
Strawberry,conv-relu-mlp,DeepSHAP,0.0952340425531915
Strawberry,conv-relu-mlp,GradientSHAP,0.10306382978723404
Strawberry,conv-relu-mlp,LICOR,0.400936170212766
Strawberry,conv-relu-mlp,SmoothGRAD,0.9952340425531914
Strawberry,conv-relu-mlp,DeepSHAP,0.09293617021276594
Strawberry,conv-relu-mlp,GradientSHAP,0.1011063829787234
Strawberry,conv-relu-mlp,LICOR,0.4346382978723405
Strawberry,conv-relu-mlp,SmoothGRAD,0.9951489361702127
Strawberry,conv-relu-mlp,DeepSHAP,0.10068085106382978
Strawberry,conv-relu-mlp,GradientSHAP,0.10323404255319149
blink_EEG,conv-relu-mlp,LICOR,0.15301960784313723
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9992222222222223
blink_EEG,conv-relu-mlp,DeepSHAP,0.0027973856209150324
blink_EEG,conv-relu-mlp,GradientSHAP,0.009549019607843138
blink_EEG,conv-relu-mlp,LICOR,0.14565359477124182
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9991764705882354
blink_EEG,conv-relu-mlp,DeepSHAP,0.002751633986928104
blink_EEG,conv-relu-mlp,GradientSHAP,0.008477124183006534
blink_EEG,conv-relu-mlp,LICOR,0.15684313725490193
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9992091503267977
blink_EEG,conv-relu-mlp,DeepSHAP,0.0029346405228758165
blink_EEG,conv-relu-mlp,GradientSHAP,0.00981045751633987
blink_EEG,conv-relu-mlp,LICOR,0.1314705882352941
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9992287581699348
blink_EEG,conv-relu-mlp,DeepSHAP,0.002745098039215686
blink_EEG,conv-relu-mlp,GradientSHAP,0.008379084967320262
blink_EEG,conv-relu-mlp,LICOR,0.14724183006535946
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9991503267973859
blink_EEG,conv-relu-mlp,DeepSHAP,0.002568627450980392
blink_EEG,conv-relu-mlp,GradientSHAP,0.0073333333333333315
blink_EEG,conv-relu-mlp,LICOR,0.16333333333333333
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9992222222222225
blink_EEG,conv-relu-mlp,DeepSHAP,0.0021830065359477123
blink_EEG,conv-relu-mlp,GradientSHAP,0.007392156862745096
blink_EEG,conv-relu-mlp,LICOR,0.16186928104575163
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9992549019607844
blink_EEG,conv-relu-mlp,DeepSHAP,0.0019346405228758171
blink_EEG,conv-relu-mlp,GradientSHAP,0.009660130718954248
blink_EEG,conv-relu-mlp,LICOR,0.15762745098039216
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9991830065359479
blink_EEG,conv-relu-mlp,DeepSHAP,0.002973856209150327
blink_EEG,conv-relu-mlp,GradientSHAP,0.008450980392156861
blink_EEG,conv-relu-mlp,LICOR,0.14344444444444443
blink_EEG,conv-relu-mlp,SmoothGRAD,0.999202614379085
blink_EEG,conv-relu-mlp,DeepSHAP,0.003372549019607843
blink_EEG,conv-relu-mlp,GradientSHAP,0.008326797385620914
blink_EEG,conv-relu-mlp,LICOR,0.1407908496732026
blink_EEG,conv-relu-mlp,SmoothGRAD,0.9991960784313727
blink_EEG,conv-relu-mlp,DeepSHAP,0.0026535947712418295
blink_EEG,conv-relu-mlp,GradientSHAP,0.009745098039215687
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.04130580357142857
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997823660714286
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,5.766369047619047e-05
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.0001450892857142857
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.052010788690476185
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997860863095238
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,7.254464285714286e-05
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.00042224702380952374
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.04160342261904763
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997749255952381
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,0.00013950892857142856
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.00014322916666666667
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.04914806547619047
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997730654761906
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,6.696428571428572e-05
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.0007198660714285715
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.05679873511904762
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997786458333334
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,0.0001097470238095238
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.00034598214285714283
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.050775669642857124
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997805059523812
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,6.510416666666667e-05
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.0001246279761904762
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.056586681547619054
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997749255952383
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,0.0001097470238095238
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.0005598958333333334
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.05344866071428571
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997879464285715
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,0.00015252976190476187
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.0007886904761904763
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.06081845238095239
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.999780505952381
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,0.00012090773809523809
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.0005078125
SelfRegulationSCP1,conv-relu-mlp,LICOR,0.060461309523809535
SelfRegulationSCP1,conv-relu-mlp,SmoothGRAD,0.9997749255952381
SelfRegulationSCP1,conv-relu-mlp,DeepSHAP,0.00015997023809523808
SelfRegulationSCP1,conv-relu-mlp,GradientSHAP,0.0005431547619047618
Heartbeat,conv-relu-mlp,LICOR,0.004819672131147541
Heartbeat,conv-relu-mlp,SmoothGRAD,0.999951022060312
Heartbeat,conv-relu-mlp,DeepSHAP,3.6429872495446266e-05
Heartbeat,conv-relu-mlp,GradientSHAP,7.002631046346894e-05
Heartbeat,conv-relu-mlp,LICOR,0.00500789313904068
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999477838494234
Heartbeat,conv-relu-mlp,DeepSHAP,7.893139040680024e-05
Heartbeat,conv-relu-mlp,GradientSHAP,0.0001404573972879984
Heartbeat,conv-relu-mlp,LICOR,0.002011333738109694
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999514268366729
Heartbeat,conv-relu-mlp,DeepSHAP,1.4976725359239018e-05
Heartbeat,conv-relu-mlp,GradientSHAP,2.5500910746812387e-05
Heartbeat,conv-relu-mlp,LICOR,0.006137219186399513
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999477838494235
Heartbeat,conv-relu-mlp,DeepSHAP,0.00010848006476421776
Heartbeat,conv-relu-mlp,GradientSHAP,0.00017486338797814205
Heartbeat,conv-relu-mlp,LICOR,0.005521554341226472
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999477838494232
Heartbeat,conv-relu-mlp,DeepSHAP,5.7883019631653516e-05
Heartbeat,conv-relu-mlp,GradientSHAP,0.0001125278283748229
Heartbeat,conv-relu-mlp,LICOR,0.004556567496458208
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999494029548676
Heartbeat,conv-relu-mlp,DeepSHAP,5.383525602104837e-05
Heartbeat,conv-relu-mlp,GradientSHAP,0.00010726573568103623
Heartbeat,conv-relu-mlp,LICOR,0.006544019429265331
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999485934021456
Heartbeat,conv-relu-mlp,DeepSHAP,0.00013155231734466707
Heartbeat,conv-relu-mlp,GradientSHAP,0.00022788909127706943
Heartbeat,conv-relu-mlp,LICOR,0.010333130945152804
Heartbeat,conv-relu-mlp,SmoothGRAD,0.999951022060312
Heartbeat,conv-relu-mlp,DeepSHAP,0.00024246104027524792
Heartbeat,conv-relu-mlp,GradientSHAP,0.0003966808338393038
Heartbeat,conv-relu-mlp,LICOR,0.005693179518316132
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999538554948393
Heartbeat,conv-relu-mlp,DeepSHAP,7.326452135195305e-05
Heartbeat,conv-relu-mlp,GradientSHAP,0.0001457194899817851
Heartbeat,conv-relu-mlp,LICOR,0.002376442015786278
Heartbeat,conv-relu-mlp,SmoothGRAD,0.9999469742967011
Heartbeat,conv-relu-mlp,DeepSHAP,6.881198138028739e-06
Heartbeat,conv-relu-mlp,GradientSHAP,1.902448896984416e-05